Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
22486,Cotopaxi,Confirmed,Observations,Reported,2.0,2022,10.0,21.0,2022.0,12.0,19.0
22481,Taal,Confirmed,Observations,Reported,1.0,2022,10.0,5.0,2022.0,10.0,29.0
22458,Turrialba,Confirmed,Observations,Reported,1.0,2022,7.0,17.0,2022.0,7.0,17.0
22453,Ulawun,Confirmed,Observations,Reported,2.0,2022,6.0,2.0,2022.0,6.0,2.0
22454,Raung,Confirmed,Observations,Satellite (infrared),2.0,2022,5.0,14.0,2022.0,9.0,27.0
22445,Gaua,Confirmed,Observations,Reported,1.0,2022,5.0,3.0,2022.0,5.0,3.0
22451,Purace,Confirmed,Observations,Reported,1.0,2022,3.0,29.0,2022.0,3.0,29.0
22430,Ambrym,Confirmed,Observations,Reported,1.0,2022,1.0,25.0,2022.0,2.0,2.0
22456,Chikurachki,Confirmed,Observations,Satellite (visual),2.0,2022,1.0,17.0,2022.0,10.0,17.0
22431,Wolf,Confirmed,Observations,Reported,2.0,2022,1.0,6.0,2022.0,4.0,14.0
22396,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0.0,2021,12.0,22.0,2022.0,1.0,17.0
22429,Hunga Tonga-Hunga Ha'apai,Confirmed,Observations,Reported,5.0,2021,12.0,20.0,2022.0,1.0,15.0
22420,Ambae,Confirmed,Observations,Reported,1.0,2021,12.0,5.0,2022.0,8.0,15.0
22423,Pinatubo,Confirmed,Observations,Reported,1.0,2021,11.0,30.0,2021.0,11.0,30.0
22421,Iliwerung,Confirmed,Observations,Reported,0.0,2021,11.0,28.0,2021.0,11.0,29.0
22475,Gaua,Confirmed,Observations,Reported,1.0,2021,11.0,16.0,2021.0,11.0,16.0
22452,Taal,Confirmed,Observations,Reported,2.0,2021,11.0,15.0,2022.0,4.0,1.0
22425,Turrialba,Confirmed,Observations,Reported,1.0,2021,11.0,3.0,2022.0,2.0,28.0
22424,Asosan,Confirmed,Observations,Reported,2.0,2021,10.0,14.0,2021.0,10.0,20.0
22419,Kavachi,Confirmed,Observations,Reported,0.0,2021,10.0,2.0,2022.0,12.0,19.0
22416,Kilauea,Confirmed,Observations,Reported,0.0,2021,9.0,29.0,2023.0,1.0,6.0
22417,La Palma,Confirmed,Observations,Reported,3.0,2021,9.0,19.0,2021.0,12.0,13.0
22407,Nishinoshima,Confirmed,Observations,Reported,2.0,2021,8.0,14.0,2021.0,8.0,15.0
22408,Fukutoku-Oka-no-Ba,Confirmed,Observations,Reported,4.0,2021,8.0,13.0,2021.0,9.0,12.0
22410,Chirinkotan,Confirmed,Observations,Reported,2.0,2021,8.0,8.0,2021.0,8.0,26.0
22411,Pavlof,Confirmed,Observations,Reported,2.0,2021,8.0,5.0,2022.0,12.0,7.0
22409,Pagan,Confirmed,Observations,Reported,2.0,2021,7.0,29.0,2021.0,9.0,6.0
22405,Sirung,Confirmed,Observations,Reported,1.0,2021,7.0,21.0,2021.0,7.0,21.0
22414,Ulawun,Confirmed,Observations,Reported,2.0,2021,7.0,9.0,2021.0,11.0,29.0
22413,Copahue,Confirmed,Observations,Reported,1.0,2021,7.0,2.0,2021.0,11.0,6.0
22406,Taal,Confirmed,Observations,Reported,1.0,2021,7.0,1.0,2021.0,7.0,9.0
22412,Rincon de la Vieja,Confirmed,Observations,Reported,2.0,2021,6.0,28.0,2022.0,12.0,19.0
